"OBJECT ID","Community name","Alternative community name","Province/Territory","Community record status","Community type","Latitude (°)","Longitude (°)","Community classification","Indigenous category","Is there year-round road access to this community?","Is this a fly-in community?","Population","Main power source","Name of service provider","Total fossil fuel generating capacity (kW)","Annual fossil fuel generation (MWh/yr)","Price of fuel at site","Units","Total renewable energy generation (kW)","Community energy plan"
"32","Kwikwasut'inuxw Haxwa'mis","Gwayasdums;Gwayasdums 1","BC","Active > Single community off-grid","Settlement","50.69502","-126.59799","Indigenous","First Nation","No","No","27","Diesel","Independent","225","null","null","null","0","null"
"33","Kluskus","Lhoosk' uz Dene Nation","BC","Active > Single community off-grid","Settlement","53.09324","-124.49322","Indigenous","First Nation","Yes","No","32","Diesel","Independent","20","null","null","null","0","Completed by Pembina"
"34","Liard First Nation","Liard River 3;Lower Post 3","BC","Active > Single community off-grid","Settlement","59.92384","-128.48639","Indigenous","First Nation","Yes","No","81","Diesel","BC Hydro/Yukon Electrical","995","null","null","null","0","null"
"36","Owikeno","Katit 1;Oweekeno;Rivers Inlet","BC","Active > Single community off-grid","Settlement","51.6802","-127.1978","Indigenous","First Nation","No","No","90","Diesel","Independent","300","1400","0.506","$/l","0","Completed by Pembina"
"42","Telegraph Creek","Tahltan Nation","BC","Active > Single community off-grid","Settlement","57.9","-131.16667","Indigenous","First Nation","Yes","No","250","Diesel","BC Hydro","1800","2612","null","null","0","null"
"44","Tlatlasikwala","Bull Harbour;Hope Island 1","BC","Active > Single community off-grid","Settlement","50.90894","-127.9497","Indigenous","First Nation","No","No","30","Diesel","Independent","70","null","null","null","0","null"
"45","Toad River Area","null","BC","Active > Single community off-grid","Settlement","58.85","-125.23333","Non-Indigenous","null","Yes","No","40","Diesel","BC Hydro","622","754","null","null","0","null"
"46","Tsay Keh Dene","Finlay River","BC","Active > Single community off-grid","Settlement","56.62216","-124.60636","Indigenous","First Nation","Yes","No","null","Diesel","BC Hydro","1095","2119","null","null","0","null"
"47","Uchucklesaht","Elhlateese;Elhlateese 2","BC","Active > Single community off-grid","Settlement","49.02085","-125.04435","Indigenous","First Nation","No","No","5","Diesel","BC Hydro","219","2119","null","null","0","Completed by Pembina"
"48","Xeni Gwet'in First Nation","Nemiah Valley;Chilco Lake;Lohbiee","BC","Active > Single community off-grid","Settlement","51.41486","-124.11276","Indigenous","First Nation","Yes","No","197","Diesel","Independent","78","null","0.99","$/l","0","Needs to be requested from band"
"52","Sechelt Creek","null","BC","Active > Single community off-grid","Settlement","49.66667","-123.58333","Non-indigenous","null","No","No","45","Diesel","Independent","125","null","0.34","$/l","0","null"
"53","Seymour Inlet","null","BC","Active > Single community off-grid","Settlement","51.07","-127.17","Non-indigenous","null","No","No","45","Diesel","Independent","125","null","0.36","$/l","0","null"
"54","Sheemahantt Conservancy","null","BC","Active > Single community off-grid","Settlement","51.66667","-126.5","Non-indigenous","null","No","No","null","Diesel","Independent","575","null","0.35","$/l","0","null"
"55","Timfor","null","BC","Active > Single community off-grid","Settlement","51","-126.5","Non-indigenous","null","No","No","45","Diesel","Independent","125","null","0.34","$/l","0","null"
"56","Knight Inlet","null","BC","Active > Single community off-grid","Settlement","50.78","-125.63","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.344","$/l","0","null"
"57","Narrows Inlet Logging Div","null","BC","Active > Single community off-grid","Commercial","49.75","-123.75","Non-indigenous","null","Yes","No","45","Diesel","Independent","125","null","0.34","$/l","0","null"
"58","Quatam River","null","BC","Active > Single community off-grid","Settlement","50.38333","-124.93333","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.34","$/l","0","null"
"59","Scott Cove","null","BC","Active > Single community off-grid","Settlement","50.77","-126.45","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.36","$/l","0","null"
"60","Cleagh Creek","null","BC","Active > Single community off-grid","Settlement","50.5","-127.75","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.357","$/l","0","null"
"61","Drury Inlet","null","BC","Active > Single community off-grid","Settlement","50.91667","-127.08333","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.36","$/l","0","null"
"64","Machmell","Machmell River","BC","Active > Single community off-grid","Settlement","51.5","-126.83333","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.34","$/l","0","null"
"66","Mooyah Bay","Mooya Bay","BC","Active > Single community off-grid","Settlement","49.61667","-126.61667","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.34","$/l","0","null"
"67","Moses Inlet","null","BC","Active > Single community off-grid","Settlement","51.66667","-127.5","Non-indigenous","null","No","No","null","Diesel","Independent","100","null","0.35","$/l","0","null"
"68","Phillips Arm","null","BC","Active > Single community off-grid","Settlement","50.55","-125.35","Non-indigenous","null","No","No","null","Diesel","Independent","125","null","0.34","$/l","0","null"
"69","Pitt Lake","null","BC","Active > Single community off-grid","Settlement","49.42","-122.66667","Non-indigenous","null","Yes","No","null","Diesel","Independent","125","null","0.34","$/l","0","null"
"70","Gilford Island","Gwa’yas’dums, Gwayadums 1","BC","Active > Single community off-grid","Settlement","50.69604","-126.6","Indigenous","First Nation","No","No","30","Diesel","Independent","45","null","0.46","$/l","0","null"
"71","Kingcome Inlet","null","BC","Active > Single community off-grid","Settlement","50.93333","-126.18333","Non-indigenous","null","No","No","91","Diesel","Independent","190","null","0.52","$/l","0","null"
"72","Kitkatla","Kitkatlah","BC","Active > Single community off-grid","Settlement","53.76667","-130.43333","Indigenous","First Nation","No","No","68","Diesel","Independent","850","null","0.46","$/l","0","null"
"74","Queens Cove","null","BC","Active > Single community off-grid","Settlement","49.88","-126.98","Non-indigenous","null","No","No","null","Unknown","Unknown","null","null","null","null","0","null"
"77","Nuchatlaht","Nuchatlitz, Oclucje, Oclucje 7","BC","Active > Single community off-grid","Settlement","49.78333","-126.93333","Indigenous","null","No","No","20","Diesel","Unknown","8","null","null","null","0","null"
"81","Tide Lake","null","BC","Active > Single community off-grid","Settlement","56","-130.25","Non-indigenous","null","null","null","null","Diesel","Unknown","null","null","null","null","0","null"
"82","Myra Falls","Western Mines at Myra Falls","BC","Active > Single community off-grid","Commercial","49.58333","-125.66667","Non-indigenous","null","Yes","No","null","Diesel","Independent","2000","null","null","null","0","null"
"83","Table Mountain Gold Project","Erickson Gold Mine Village","BC","Active > Single community off-grid","Commercial","59.24743888888889","-129.658938888889","Non-indigenous","null","null","null","null","Diesel","Independent","2100","null","0.33","$/l","0","null"
"84","Big Bar","Jesmond Creek","BC","Active > Single community off-grid","Settlement","51.16667","-122.08333","Non-indigenous","null","Yes","No","null","Diesel","Unknown","null","null","0.37","$/l","0","null"
"85","Bob Quinn Lake","null","BC","Active > Single community off-grid","Settlement","56.91667","-130.16667","Non-indigenous","null","Yes","No","null","Diesel","Unknown","250","null","null","null","0","null"
"86","Boulder Bay","null","BC","Active > Single community off-grid","Settlement","49.33333","-122.5","Non-indigenous","null","null","null","null","Diesel","Unknown","75","null","null","null","0","null"
"87","Germansen Landing","null","BC","Active > Single community off-grid","Settlement","55.78333","-124.75","Non-indigenous","null","Yes","No","null","Unknown","Unknown","null","null","null","null","0","null"
"89","Stave Lake","null","BC","Active > Single community off-grid","Settlement","49.371667","-122.291667","Non-indigenous","null","Yes","No","null","Diesel","Unknown","110","null","null","null","0","null"
"90","Lasqueti Island","Lasqueti Island Trust Area","BC","Active > Single community off-grid","Settlement","49.48","-124.27","Non-indigenous","null","No","No","399","Diesel","Independent","null","null","null","null","0","null"
"91","Savary Island","null","BC","Active > Single community off-grid","Settlement","49.95","-124.76667","Non-indigenous","null","No","No","100","Unknown","Unknown","null","null","null","null","0","null"
"92","Seymour Arm","null","BC","Active > Single community off-grid","Settlement","51.25","-118.96667","Non-indigenous","null","No","No","102","Unknown","Unknown","null","null","null","null","0","null"
"93","Eastgate","null","BC","Active > Single community off-grid","Settlement","49.16667","-120.75","Non-indigenous","null","Yes","No","null","Diesel","Unknown","50","null","0.356","$/l","0","null"
"95","Longworth","null","BC","Active > Single community off-grid","Settlement","53.91667","-121.46667","Non-indigenous","null","Yes","No","null","Unknown","Unknown","null","null","null","null","0","null"
"96","Lower Post","Fort Liard","BC","Active > Single community off-grid","Settlement","59.91667","-128.5","Non-indigenous","null","Yes","No","81","Diesel","ATCO Electric Yukon","null","null","null","null","0","null"
"97","Penny","null","BC","Active > Single community off-grid","Settlement","53.85","-121.3","Non-indigenous","null","Yes","No","null","Unknown","Unknown","null","null","null","null","0","null"
"99","Dome Creek","null","BC","Active > Single community off-grid","Settlement","53.75","-121.03333","Non-indigenous","null","Yes","No","null","Diesel","Unknown","null","null","0.44","$/l","0","null"
"100","Crescent Spur","null","BC","Active > Single community off-grid","Settlement","53.58333","-120.68333","Non-indigenous","null","Yes","No","24","Diesel","Unknown","null","null","null","null","0","null"
"102","Meziadin Lake","Meziadin Junction;Meziadin Subdivision","BC","Active > Single community off-grid","Commercial","56.03333","-129.16667","Non-indigenous","null","Yes","No","20","Diesel","Independent","500","null","0.43","$/l","0","null"
"104","Dease River 4","Good Hope Lake","BC","Active > Single community off-grid","Settlement","59.67","-129.16417","Indigenous","First Nation","Yes","No","38","Diesel","Unknown","null","null","null","null","0","null"
"105","Beaver Creek","null","YT","Active > Single community off-grid","Settlement","62.35985","-140.86964","Indigenous","First Nation","Yes","No","93","Diesel","ATCO Electric Yukon","900","1775","null","$/l","0","null"
"106","Burwash Landing","null","YT","Active > Multi-community local microgrid","Settlement","61.355","-138.994444444444","Indigenous","First Nation","Yes","No","72","Diesel","ATCO Electric Yukon","null","null","null","null","0","null"
"107","Destruction Bay","null","YT","Active > Multi-community local microgrid","Settlement","61.25277777777778","-138.80095","Indigenous","First Nation","Yes","No","55","Diesel","ATCO Electric Yukon","900","1793","0.37","$/l","0","null"
"108","Old Crow","null","YT","Active > Single community off-grid","Settlement","67.57126","-139.83411","Indigenous","First Nation","No","Yes","221","Diesel","ATCO Electric Yukon","700","2350","0.8","$/l","0","null"
"110","Watson Lake","null","YT","Active > Single community off-grid","Settlement","60.065","-128.70797","Indigenous","First Nation","Yes","No","790","Diesel","ATCO Electric Yukon","5000","14902","0.37","$/l","0","null"
"112","Carmacks","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","62.10593","-136.26667","Indigenous","First Nation","Yes","No","493","Prov./terr. grid","Yukon Energy Corp.","1500","null","0.33","$/l","0","null"
"113","Carcross","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.17379","-134.69717","Indigenous","First Nation","Yes","No","301","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"114","Champagne","Champagne Landing","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.78943","-136.47135","Indigenous","First Nation","Yes","No","20","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"115","Dawson","Dawson City","YT","Active > Grid connected: Yukon or NWT grid","Settlement","64.05274","-139.4192","Indigenous","First Nation","Yes","No","1375","Prov./terr. grid","Yukon Energy Corp.","5100","null","0.37","$/l","0","null"
"117","Faro","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","62.23156","-133.35616","Non-indigenous","","Yes","No","348","Prov./terr. grid","Yukon Energy Corp.","8500","null","0.33","$/l","0","http://www.energy.gov.yk.ca/publications.html"
"118","Haines Junction","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.76328","-137.51039","Indigenous","First Nation","Yes","No","613","Prov./terr. grid","Yukon Energy Corp.","1500","null","0.33","$/l","0","null"
"119","Johnsons Crossing","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.48938","-133.29491","Non-indigenous","null","Yes","No","10","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"120","Keno","Keno Hill","YT","Active > Grid connected: Yukon or NWT grid","Settlement","63.90988","-135.2804","Non-indigenous","","Yes","No","20","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"121","Marsh Lake","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.51667","-134.33333","Non-indigenous","null","Yes","No","696","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"122","Mayo","Mayo 6","YT","Active > Grid connected: Yukon or NWT grid","Settlement","63.59426","-135.89649","Indigenous","First Nation","Yes","No","226","Prov./terr. grid","Yukon Energy Corp.","2500","null","0.33","$/l","0","null"
"123","Pelly Crossing","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","62.81802","-136.5773","Indigenous","First Nation","Yes","No","353","Prov./terr. grid","Yukon Energy Corp.","1200","null","0.37","$/l","0","null"
"124","Ross River","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","61.98333","-132.45","Indigenous","First Nation","Yes","No","293","Prov./terr. grid","Yukon Energy Corp.","1000","null","0.33","$/l","0","null"
"125","Stewart Crossing","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","63.37133","-136.68401","Non-indigenous","null","Yes","No","17","Prov./terr. grid","Yukon Energy Corp.","100","null","0.37","$/l","0","null"
"126","Tagish and Marsh Lake","Tagish","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.29553","-134.28","Indigenous","First Nation","Yes","No","249","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"127","Teslin","Teslin Post 13","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.16667","-132.71667","Indigenous","First Nation","Yes","No","124","Prov./terr. grid","Yukon Energy Corp.","1500","null","0.33","$/l","0","null"
"128","Whitehorse","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.71667","-135.05","Non-indigenous","null","Yes","No","25085","Prov./terr. grid","Yukon Energy Corp.","23000","null","0.33","$/l","0","null"
"129","Chipewyan Lake","null","AB","Active > Single community off-grid","Settlement","56.9333","-113.45","Indigenous","First Nation","Yes","Yes","38","Diesel","ATCO","441","804.3","null","null","0","null"
"130","Fort Chipewyan","null","AB","Active > Single community off-grid","Settlement","58.7","-111.13","Non-indigenous","null","No","Yes","853","Diesel","ATCO","4580","12843","null","null","0","null"
"132","Steen River","null","AB","Active > Single community off-grid","Commercial","59.6226","-117.1679","Non-indigenous","null","Yes","No","1","Diesel","ATCO","120","252","null","null","0","null"
"133","Jasper","Jasper National Park","AB","Active > Single community off-grid","Settlement","52.8736","-118.8222","Non-indigenous","null","Yes","No","4590","Natural Gas","ATCO","17000","58342","null","null","851355","null"
"134","Indian Cabins","null","AB","Active > Single community off-grid","Commercial","59.8675","-117.3472","Non-indigenous","null","Yes","No","0","Diesel","ATCO","100","144","null","null","0","null"
"135","Peace Point","Peace Point 222","AB","Active > Single community off-grid","Settlement","59.12528","-112.44639","Indigenous","First Nation","Yes","No","1","Diesel","ATCO","48","59","null","null","0","null"
"136","Narrows Point","null","AB","Active > Single community off-grid","Settlement","55.438805555555554","-115.39480555555556","Indigenous","First Nation","Yes","No","null","Diesel","ATCO","201","223","null","null","0","null"
"141","Coral Harbour","Salliq;Salliit","NU","Active > Single community off-grid","Settlement","64.13","-83.17","Indigenous","Inuit","No","Yes","891","Diesel","Qulliq Energy Corporation","1390","3525","null","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"142","Arviat","Eskimo Point","NU","Active > Single community off-grid","Settlement","61.11","-94.06","Indigenous","Inuit","No","No","2657","Diesel","Qulliq Energy Corporation","3110","8661","1.07","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"143","Naujaat","Repulse Bay","NU","Active > Single community off-grid","Settlement","66.53","-86.25","Indigenous","Inuit","No","Yes","1082","Diesel","Qulliq Energy Corporation","1400","4115","1.16","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"144","Baker Lake","Qamani'tuaq","NU","Active > Single community off-grid","Settlement","64.32","-96.02","Indigenous","Inuit","No","Yes","2069","Diesel","Qulliq Energy Corporation","3420","8917","1.16","$/l","0","null"
"145","Chesterfield Inlet","Igluligaarjuk","NU","Active > Single community off-grid","Settlement","63.34","-90.7","Indigenous","Inuit","No","Yes","437","Diesel","Qulliq Energy Corporation","1000","2070","1.2","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"146","Rankin Inlet","Kangiqliniq;Kangirliniq","NU","Active > Single community off-grid","Settlement","62.82","-92.08","Indigenous","Inuit","No","Yes","2842","Diesel","Qulliq Energy Corporation","6200","18113","1.07","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"147","Whale Cove","Tikiraqjuaq","NU","Active > Single community off-grid","Settlement","62.17","-92.58","Indigenous","Inuit","No","Yes","435","Diesel","Qulliq Energy Corporation","1070","1844","1.13","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"148","Hall Beach","Sanirajak","NU","Active > Single community off-grid","Settlement","68.79","-81.24","Indigenous","Inuit","No","Yes","848","Diesel","Qulliq Energy Corporation","1525","3376","1.02","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"149","Kimmirut","Lake Harbour","NU","Active > Single community off-grid","Settlement","62.85","-69.87","Indigenous","Inuit","No","Yes","389","Diesel","Qulliq Energy Corporation","900","2079","0.99","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"150","Arctic Bay","Ikpiarjuk","NU","Active > Single community off-grid","Settlement","73.03","-85.17","Indigenous","Inuit","No","Yes","868","Diesel","Qulliq Energy Corporation","1100","3194","1","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"151","Resolute","Resolute Bay","NU","Active > Single community off-grid","Settlement","74.7","-94.83","Indigenous","Inuit","No","Yes","198","Diesel","Qulliq Energy Corporation","1810","4607","1.07","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"152","Iqaluit","Frobisher Bay","NU","Active > Single community off-grid","Settlement","63.75","-68.52","Indigenous","Inuit","No","Yes","7740","Diesel","Qulliq Energy Corporation","25730","59140","1.19","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"153","Cape Dorset","Kinngait","NU","Active > Single community off-grid","Settlement","64.23","-76.54","Indigenous","Inuit","No","Yes","1441","Diesel","Qulliq Energy Corporation","2260","5685","0.98","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"154","Grise Fiord","Aujuittuq","NU","Active > Single community off-grid","Settlement","76.42","-82.9","Indigenous","Inuit","No","Yes","129","Diesel","Qulliq Energy Corporation","570","1237","1.08","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"155","Igloolik","null","NU","Active > Single community off-grid","Settlement","69.38","-81.8","Indigenous","Inuit","No","Yes","1682","Diesel","Qulliq Energy Corporation","2370","6587","1.02","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"156","Pangnirtung","null","NU","Active > Single community off-grid","Settlement","66.14","-65.72","Indigenous","Inuit","No","Yes","1481","Diesel","Qulliq Energy Corporation","2000","6506","0.99","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"157","Sanikiluaq","null","NU","Active > Single community off-grid","Settlement","56.53","-79.23","Indigenous","Inuit","No","Yes","882","Diesel","Qulliq Energy Corporation","1430","3718","1.15","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"158","Qikiqtarjuaq","Broughton Island","NU","Active > Single community off-grid","Settlement","67.55","-64.03","Indigenous","Inuit","No","Yes","598","Diesel","Qulliq Energy Corporation","1320","2776","0.98","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"159","Clyde River","Kanngiqtugaapik","NU","Active > Single community off-grid","Settlement","70.47","-68.59","Indigenous","Inuit","No","Yes","1053","Diesel","Qulliq Energy Corporation","1360","3931","1.03","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"160","Pond Inlet","Mittimatalik","NU","Active > Single community off-grid","Settlement","72.7","-77.96","Indigenous","Inuit","No","Yes","1617","Diesel","Qulliq Energy Corporation","2670","6355","1","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"161","Kugaaruk","Pelly Bay;Arviligjuaq","NU","Active > Single community off-grid","Settlement","68.53","-89.83","Indigenous","Inuit","No","Yes","933","Diesel","Qulliq Energy Corporation","1500","2829","1.32","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"162","Taloyoak","Spence Bay","NU","Active > Single community off-grid","Settlement","69.54","-93.52","Indigenous","Inuit","No","Yes","1029","Diesel","Qulliq Energy Corporation","1570","3964","1.36","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"163","Kugluktuk","Coppermine;Qurluktuk","NU","Active > Single community off-grid","Settlement","67.83","-115.09","Indigenous","Inuit","No","Yes","1491","Diesel","Qulliq Energy Corporation","2195","5839","1.14","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"165","Cambridge Bay","Iqaluktuuttiaq","NU","Active > Single community off-grid","Settlement","69.11","-105.05","Indigenous","Inuit","No","Yes","1766","Diesel","Qulliq Energy Corporation","3470","12359","1.11","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"166","Gjoa Haven","Uqsuqtuuq","NU","Active > Single community off-grid","Settlement","68.63","-95.88","Indigenous","Inuit","No","Yes","1324","Diesel","Qulliq Energy Corporation","1820","5619","1.27","$/l","0","Completed by Nunavut Energy Centre 2005-2006"
"167","Mary River Iron Ore Project","null","NU","Active > Single community off-grid","Commercial","71.32333","-79.21056","Non-indigenous","null","No","Yes","null","Diesel","Independent","37800","null","null","null","0","null"
"168","Hope Bay Gold Mine","null","NU","Active > Single community off-grid","Commercial","68.16389","-106.61444","Non-indigenous","null","No","Yes","190","Diesel","Independent","12","null","null","null","0","null"
"169","Meadowbank Gold Mine","null","NU","Active > Single community off-grid","Commercial","65.01861","-96.07389","Non-indigenous","null","Yes","No","600","Diesel","Independent","29200","133262","0.9","$/l","0","null"
"177","Blanc-Sablon","null","QC","Active > Multi-community local microgrid","Settlement","51.41667","-57.13","Non-indigenous","null","No","No","1112","Hydro","Hydro-Quebec","null","40","null","null","0","null"
"178","Bradore-Bay","Brador Bay","QC","Active > Multi-community local microgrid","Settlement","51.45","-57.23","Non-indigenous","null","No","No","175","Hydro","Hydro-Quebec","null","null","null","null","0","null"
"179","Chevery","Netagamu River","QC","Active > Multi-community local microgrid","Settlement","50.46667","-59.6","Non-indigenous","null","No","No","236","Hydro","Hydro-Quebec","null","null","null","null","0","null"
