Project Name,Project Description,Project Type,MOE Approval Number,Project Approval Type,Proponent Name,Proponent Website,Location,MOE Region,Application Status,EBR Number,,,,,,,
Edwardsburgh Morrisburg Solar Project,10 MW solar project. ,Solar, 8486-8S7M8F,REA,Penn Energy,http://pennenergyrenewables.com/solar-ontario/edwardsburghmorrisburg1.html, Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Hamilton (Port Hope 4) Solar Facility,10 MW solar project. ,Solar,0905-8S7M96,REA,Penn Energy,http://pennenergyrenewables.com/solar-ontario/hamiltonph4.html,Northumberland County,Eastern,Approved,Not applicable,,,,,,,
RE Smiths Falls 3,10 MW solar project. ,Solar,8203-8TJGER,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php ,Lanark County,Eastern,Approved,Not applicable,,,,,,,
RE Smiths Falls 1,10 MW solar project. ,Solar,2014-8SNR4L,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#SF1, Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
RE Waubaushene 3,10 MW solar project. ,Solar,6789-8T7NNN,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#OR1,Simcoe County,Central,Approved,Not applicable,,,,,,,
Norfolk-Bloomsburg TS Solar Project,10 MW solar project. ,Solar,0842-8T3UHJ,REA,2225050 Ontario Inc. (c/o Axio Power),Not applicable,Norfolk County,West Central,Approved,Not applicable,,,,,,,
RE Breen 2,10 MW solar project. ,Solar,4282-8TRRSF,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#OR1,Middlesex County,Southwest ,Approved,Not applicable,,,,,,,
RE Orillia 1,10 MW solar project. ,Solar,0002-8TRNBP,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#OR1,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Orillia 3,6.5 MW solar project. ,Solar,9070-8TRQM4,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#OR1,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Midhurst 2 ,3.5 MW solar project. ,Solar,1879-8TRRQ2,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#MH2,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Midhurst 4 ,6.5 MW solar project. ,Solar,7410-8U6MX9,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#MH4,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Smiths Falls 4,10 MW solar project. ,Solar,2372-8UMGDK,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php ,Lanark County,Eastern,Approved,Not applicable,,,,,,,
RE Midhurst 3 ,3.5 MW solar project. ,Solar,5189-8SJNRC,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#MH3,Simcoe County,Central,Approved,Not applicable,,,,,,,
Alderville First Nation Solar Facility,5 MW solar projact,Solar,3090-8V3Q5C,REA,Alderville First Nation,Not applicable,Northumberland County,Eastern,Approved,Not applicable,,,,,,,
Grand Renewable Energy Park- Solar Component, 100 MW solar project,Solar,9560-8UJJXS,REA,Grand Renewable Solar LP (also Samsung Renewable),http://www.samsungrenewableenergy.ca/haldimand,Haldimand County,West Central,Approved,Not applicable,,,,,,,
Glendale Solar Project,10 MW solar project. ,Solar,1565-8ULQT7,REA,Northland Power Inc.,http://www.northlandpower.ca/Glendale,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
RE Ingersoll 1,9.5 MW solar project. ,Solar,3402-8TUPFA,REA,Recurrent Energy,http://ontariosolarfuture.ca/projects.php#MH2,Oxford County,Southwest,Approved,Not applicable,,,,,,,
Ramore Solar Project,8 MW solar project. ,Solar,2672-8T7QY9,REA,Ontario Solar PV Fields,http://www.ontariosolarpvfields.com/project7.html,Cochrane District,Northern,Approved,Not applicable,,,,,,,
Mattawiskwia Solar Project,10 MW solar project. ,Solar,9622-8T7Q6K,REA,Ontario Solar PV Fields,http://www.ontariosolarpvfields.com/project6.html,Cochrane District,Northern,Approved,Not applicable,,,,,,,
Kap Solar Project,6 MW solar project. ,Solar,2004-8T7RKJ,REA,Ontario Solar PV Fields,http://www.ontariosolarpvfields.com/project5.html,Cochrane District,Northern,Approved,Not applicable,,,,,,,
Woodville Solar Farm,10 MW solar project. ,Solar,7438-8U6QJC,REA,Invenergy Solar Canada,http://woodville.invenergyllc.com/,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Sandringham Solar Farm,10 MW solar project. ,Solar,4222-8U6RL8,REA,Invenergy Solar Canada,http://invenergyllc.com/projects.html,Kawartha Lakes County,Eastern ,Approved,Not applicable,,,,,,,
2176050 Solar Farm (also known as Spring Valley Solar Farm),9 MW solar project. ,Solar,1962-8VFQAV,REA,2176050 Ontario Inc. (Also Canadian Solar),Not applicable,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Kingston Gardiner hwy 2 South Solar Project (Also known as 2225056 Ontario Solar Project),10 MW solar project. ,Solar,5155-8WDH5G,REA,2225056 Ontario Inc. (also Axio Power and SunEdison),Not applicable,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Dove Tree Solar Farm,0.06 MW solar project.,Solar,4004-8W4KXD,REA,John Dove,Not applicable,Kenora District,Northern,Approved,Not applicable,,,,,,,
Burritts Rapids Solar Farm ,7 MW solar project. ,Solar,6691-8VMRLG,REA,2225249 Ontario Inc. (also Canadian Solar),Not applicable,Ottawa Region,Eastern,Approved,Not applicable,,,,,,,
"Kingston Gardiner TS Odessa Solar Project
",10 MW solar project. ,Solar,2294-8WJHD3,REA,2225054 Ontario Inc. (also Axio Power and SunEdison),Not applicable,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
"Liskeard 1, 3 & 4 Solar Projects",30 MW solar projects. ,Solar,7263-8XDGMG,REA,"2225256 Ontario Inc., 2225342 Ontario Inc. and 2225345 Ontario Inc. o/a Canadian Solar Solutions Inc. ",Not applicable,District of Timiskaming,Northern,Approved,Not applicable,,,,,,,
Mississippi Mills Solar Park ,10 MW solar project. ,Solar,9694-8X9J7X,REA,2225213 Ontario Inc. (Canadian Solar),Not applicable,Lanark County,Eastern,Approved,Not applicable,,,,,,,
"Kingston Gardiner TS Unity Road Solar Project
",10 MW solar project.,Solar,8438-8XNQ3L,REA,SunE Unity LP formerly 2225128 Ontario Inc. (SunEdison),Not applicable,Frontenac County,Eastern,Approved,Not applicable,,,,,,,
Napanee TS Taylor Kidd Solar Energy Project,10 MW solar project. ,Solar,0017-8YGJJM,REA,SunE Taylor Kidd LP formerly 2225053 Ontario Inc. (SunEdison),Not applicable,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Alfred  Solar Energy Project,"10 MW solar project. 
",Solar,0578-8XGMUG,REA,SunE Alfred LP (SunEdison)  formerly 2225049 Ontario Inc. ,Not applicable,United Counties of Prescott and Russell,Eastern,Approved,Not applicable,,,,,,,
Belleville TS Demorestville Solar Energy Project,"10 MW solar project.
",Solar,5022-8XNQYT,REA,2225051 Ontario Inc. (also Axio Power and SunEdison),http://www.sunedison.ca/demorestville/,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
North Burgess Solar Project,10MW solar project. ,Solar,5149-8YPMVG,REA,Northland Power,http://www.northlandpower.ca/WhatWeDo/PrerevenueProjects/ViewAll.aspx?projectStageID=%20-1#m=2&s=3 ,Lanark County,Eastern,Approved,Not applicable,,,,,,,
Burk's Falls West Solar Project,10MW solar project. ,Solar,5665-8YFKZU,REA,Northland Power,http://www.northlandpower.ca/WhatWeDo/PrerevenueProjects/ViewAll.aspx?projectStageID=%20-1#m=2&s=3 ,Parry Sound District,Northern,Approved,Not applicable,,,,,,,
Hybridyne Solar Project,2MW solar project. ,Solar,8332-8ZXN8R,REA,Hybridyne Power Generation Site A Inc. ,http://hybridynepowergeneration.com/Page_02.01.htm,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Wainright Solar Park,10 MW solar project. ,Solar,0148-92QL8R,REA,Ontario Solar PV Fields 1LP,http://www.ontariosolarpvfields.com/project1.html,Kenora District,Northern,Approved,Not applicable,,,,,,,
SunE Westbrook Solar Project,10 MW solar project. ,Solar,8768-92QLJT,REA,SunE Westbrook LP Formerly 2225055 Ontario Inc. (SunEdison),Not applicable,Frontenac County,Eastern,Approved,Not applicable,,,,,,,
Cornwall Solar Project,10 MW solar project. ,Solar,3195-92JKTY,REA,Cornwall Solar Inc. (Algonquin Solar Subsidiary),Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
Little Creek Solar Project ,10 MW solar project. ,Solar,3068-93AP8E,REA,Canadian Solar,http://www.littlecreeksolar.com/,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Intech #4 (Rodney) 500 kw Solar Farm,0.5 MW solar project. ,Solar,9012-92QMZH,REA,Intech Clean Energy Inc. ,http://intech-solar.ca/projects/,Elgin County,Southwest,Approved,Not applicable,,,,,,,
Highlight Solar Project,10 MW solar project.,Solar,2332-936QYA,REA,CSI GP Val Caron Ltd. (Canadian Solar),Not applicable,Sudbury District,Northern,Approved,Not applicable,,,,,,,
Mighty Solar Project,10 MW solar project. ,Solar,3491-942JA7,REA,239277 Ontario Corp.  MightySolar LP,Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
SunE Newsboro 4 Solar Project,10 MW solar project. ,Solar,8926-94VKR7,REA,SunEdison,http://www.sunedison.com/wps/portal/memc/memc/!ut/p/b1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOINDQO8fb3dDQ0MPPwtDDx9zYwtnULNDA2MzIEKIoEKDHAARwNC-r30o9Jz8pOAVoXrR4EVGxu6GhgZmxh6uHtbGBh4WrqEGrp7-Rm7GxtBFeCxzM8jPzdVvyA3ojI4IF0RAHk9KeU!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Almonte Solar Farm,10 MW solar project. ,Solar,0112-94VKPR,REA,Beckwith Solar Inc. (Formerly Effisolar Energy Corp),http://almontesolar.com/project.html,Lanark County,Eastern,Approved,Not applicable,,,,,,,
RE Adelaide 1 Solar Farm,10 MW solar project. ,Solar,1678-94MLWU,REA,RE Adelaide 1 ULC,http://ontariosolarfuture.ca/projects.php,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Marsh Hill Solar Farm ,10 MW solar project. ,Solar,6143-94UQHV,REA,2327461 Ontario Inc. ,Not applicable,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Sunderland Solar Farm,10 MW solar project. ,Solar,5015-95QGN7,REA," 2327049 Ontario Inc.
Solray",Not applicable,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Welland Ridge Road Solar Project,10 MW solar project. ,Solar,2432-95WLK8,REA,SunE Welland Ridge GP Corp. operating as SunE Welland Ridge LP,http://www.sunedison.ca/wellandridge/,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
Glenarm Solar Farm,"10 MW solar project. 
",Solar,6928-95QPNP,REA,Canadian Solar (SkyPower),Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
RE Sunningdale 1 Solar Energy Project,7 MW solar project. ,Solar,6161-96DG52,REA,RE Sunningdale 1 ULC,http://ontariosolarfuture.ca/projects.php,Middlesex County,Southwest,Approved,Not applicable,,,,,,,
GoodLight Solar Project,10 MW solar project. ,Solar,4324-96UL4W,REA,GoodLight LP (Canadian Solar ,http://goodlightsolar.com/,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Illumination,10 MW solar project.,Solar,7639-96SGEZ,REA,Illumination LP (Canadian Solar),Not applicable,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
SunE Newboro 1 Solar Energy Project,10 MW solar project.,Solar,0325-98FHZK,REA,2225054 Ontario Inc. (SunEdison),Not applicable,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
RayLight Solar Park ,10 MW solar project. ,Solar,2367-986H5X,REA,RayLight LP (aka Canadian Solar),Not applicable,Simcoe County,Central,Approved,Not applicable,,,,,,,
SparkleLight Solar Farm,10 MW solar project. ,Solar,0399-99ESCE,REA,SparkleLight LP (also Canadian Solar),http://sparklelightsolar.com/,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
Northland Power Long Lakes Solar Project ,10 MW solar project. ,Solar,8430-9AEQ6M,REA,Northland Power Solar Long Lakes Inc. operating as Northland Power Solar Long Lake L.P. ,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=339#m=2,Cochrane District,Northern,Approved,Not applicable,,,,,,,
F-001542-SPV-130-505 Solar Farm,3 MW solar project. ,Solar,5141-9A3QXD,REA,Balsam Lake Green Energy,Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
"Cochrane Solar Farm (Formerly Abitibi, Empire and Martin's Meadow)",30 MW solar project. ,Solar,1290-9A4KSE,REA,Northland Power,Not applicable,Cochrane District,Northern,Approved,Not applicable,,,,,,,
Sunny Shores Solar Project (Glen Manor),10 MW solar project. ,Solar,0680-99WKVM,REA,2340124 Ontario Inc. operating as Glen Manor Wind Farm Limited Partnership,Not applicable,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
Beamlight Solar Project,10 MW solar project. ,Solar,2351-97YFZR,REA,BeamLight LP (also known as Canadian Solar Solutions Inc.),http://beamlightsolar.com/,Regional Municipality of York,Central,Approved,Not applicable,,,,,,,
Intech 2 (Kent Bridge) Solar Farm,0.5  MW solar project. ,Solar,5569-97YHEJ,REA,Intech 2 (Kent Bridge) Solar Farm,Not applicable,Chatham-Kent County,Southwest,Approved,Not applicable,,,,,,,
DiscoveryLight ,10 MW solar project. ,Solar,5883-99WR7P,REA,DiscoveryLightLP (aka Canadian Solar Solutions Inc.),http://discoverylightsolar.com/,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
GoldLight Solar Project,10 MW solar project. ,Solar,0494-99WL4Q,REA,GoldLight LP (Canadian Solar),http://goldlightsolar.com/,Regional Municipality of York,Central,Approved,Not applicable,,,,,,,
SunEdison Bruining 1 Solar Project,10 MW solar project. ,Solar,9412-998HM7,REA,SunE South Stormont GP Corp. (SunEdison),Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
Solar Spirit 4 Solar Farm,10 MW solar project. ,Solar, 7420-9A6KGN,REA,2224375 Ontario Inc. (SunEdison),Not applicable,County of Hastings,Eastern,Approved,Not applicable,,,,,,,
Morley Solar Park,10 MW solar project. ,Solar,7714-992PAZ,REA,Ontario PV Fields GP 2 Inc.,http://www.ontariosolarpvfields.com/project2.html,District of Rainy River,Northern,Approved,Not applicable,,,,,,,
Vanzwolf Solar Park,5 MW solar project. ,Solar,8090-99ALTC,REA,Ontario PV Fields GP 3 Inc.,http://www.ontariosolarpvfields.com/project3.html,District of Rainy River,Northern,Approved,Not applicable,,,,,,,
Dave Rampel Solar Park ,10 MW solar project. ,Solar,9025-99ALT5,REA,Ontario PV Fields GP 4 Inc.,http://www.ontariosolarpvfields.com/project4.html,District of Rainy River,Northern,Approved,Not applicable,,,,,,,
Penn Energy Brantgate Solar Project,8 MW solar project. ,Solar,1845-98SRNS,REA,Penn Energy Renewables Ltd. ,http://pennenergyrenewables.com/solar-ontario/brantgate.html,Brant County,West Central,Approved,Not applicable,,,,,,,
Lindsay Solar Farm,10 MW solar project.,Solar,0568-9AMQAB,REA,Lindsay Solar Farm Inc.,Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
FotoLight Solar Farm,10 MW solar project. ,Solar,6974-9A4PYN,REA,FotoLight LP (also Canadian Solar),http://fotolightsolar.com/,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
SunEdison Oro 4 Line Solar Farm,10 MW solar project. ,Solar,5896-99WKXR,REA,Oro-Medonte Solar Farm Inc.,Not applicable,Simcoe County,Central,Approved,Not applicable,,,,,,,
Silvercreek Solar Park,10 MW solar project. ,Solar,7249-9CKRM3,REA,Silvercreek Nominee Inc.,http://silvercreeksolar.com/,Elgin County,Southwest,Approved,Not applicable,,,,,,,
Roseplain Solar Farm,6.5 MW solar project. ,Solar,4295-9AYK2S,REA,Roseplain General Partner 1 Inc. Roseplain General Partner 2 Inc. operating as Roseplain Solar Farm Partnership (Penn Energy),http://pennenergyrenewables.com/solar-ontario/roseplain.html,Regional Municipality of Durham,Central,Approved,Not applicable,,,,,,,
David Brown Solar Park,10 MW solar project. ,Solar,1403-9ENMBH,REA,Saturn Power Inc.,Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
LunarLight Solar Farm,10 MW solar project. ,Solar,3968-9AHRNA,REA,LunarLight LP (also Canadian Solar),http://lunarlightsolar.com/,County of Hastings,Eastern,Approved,Not applicable,,,,,,,
Intech # 3 Thamesville ,0.4MW solar project. ,Solar,0856-9FBJ44,REA,Intech Clean Energy Inc.,http://intech-solar.ca/projects/,Chatham-Kent County,Southwest,Approved,Not applicable,,,,,,,
CityLights Solar Farm,10 MW solar project. ,Solar,0329-9A4PNH,REA,2239279 Ontario Corp. operating as CityLights LP,Not applicable,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
Penn Energy- Ridgefield Solar Project,8 MW solar project. ,Solar,2447-9FYLJH,REA,Ridgefield General Partner 1 Inc. / Ridgefield General Partner 2 Inc. operating as Ridgefield Solar Farm Partnership,http://pennenergyrenewables.com/solar-ontario/ridgefield.html,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Black Bay Solar Farm,1MW solar project. ,Solar,6718-9G9T47,REA,Azgard Corporation ,Not applicable,District of Thunder Bay ,Northern,Approved,Not applicable,,,,,,,
Sol-Luce Kingston Solar PV Energy Project,100 MW solar project. ,Solar,1016-97YHC7,REA,Kingston Solar LP ( aka Samsung),http://www.samsungrenewableenergy.ca/kingston,County of Lennox and Addington,Eastern,Approved,Not applicable,,,,,,,
Aria Solar ,9 MW solar project. ,Solar,2385-9GHMVG,REA,Canadian Solar,http://ariasolarproject.com/,Simcoe County,Central,Approved,Not applicable,,,,,,,
Intech 1 Rodney 2 Solar Farm,0.49 MW solar project. ,Solar,7641-9GRL8K,REA,Intech Clean Energy Inc.,http://intech-solar.ca/projects/,Elgin County,Southwest,Approved,Not applicable,,,,,,,
Penn Energy - Van Dorp Solar Projects,10 MW solar project.,Solar,8658-9EZK95,REA,Port Hope General Partner 1 Inc. / Port Hope General Partner 2 Inc. operating as Port Hope Solar Farm Partnership,http://pennenergyrenewables.com/solar-ontario/vandorp.html,Northumberland County,Eastern,Approved,Not applicable,,,,,,,
